instance,algorithm,cities,initial_length,nearest_neighbor_length,best_length,improvement_vs_initial_percent,difference_vs_nearest_neighbor,objective_evaluations,time_s,seed,accepted_worse
tsp.003,Tabu Search,120,58175.42097698551,10535.811770924893,13332.911581299399,77.08153828990088,2797.099810374506,20000,0.31117549998452887,5027,
tsp.003,Simulated Annealing,120,62479.3439707019,10535.811770924893,10333.282799849667,83.46128153218895,-202.52897107522585,20000,0.3355096000013873,5028,1327
tsp.003,Tabu Search,120,62479.3439707019,10535.811770924893,13255.611064904917,78.78401048653647,2719.7992939800242,20000,0.3224305000039749,5028,
tsp.003,Simulated Annealing,120,55895.072638561076,10535.811770924893,10040.332591844875,82.03717766542768,-495.4791790800173,20000,0.34084159997291863,5029,1321
tsp.003,Tabu Search,120,55895.072638561076,10535.811770924893,12480.813140637169,77.67099575781414,1945.0013697122758,20000,0.3374020999763161,5029,
tsp.003,Simulated Annealing,120,62877.942414947756,10535.811770924893,11091.061182448795,82.36096672938814,555.2494115239024,20000,0.3462462000316009,5030,1355
tsp.003,Tabu Search,120,62877.942414947756,10535.811770924893,13693.973676046122,78.22133939168037,3158.161905121229,20000,0.3539865000057034,5030,
tsp.004,Simulated Annealing,120,59536.734963919196,11191.477643962411,10482.137597941623,82.39383196896158,-709.3400460207886,20000,0.35962430003564805,6026,1282
tsp.004,Tabu Search,120,59536.734963919196,11191.477643962411,13614.124416639048,77.13323643815947,2422.646772676637,20000,0.32226589997299016,6026,
tsp.004,Simulated Annealing,120,57841.53586826171,11191.477643962411,10705.154262015705,81.49227177093383,-486.3233819467059,20000,0.3423729999922216,6027,1374
tsp.004,Tabu Search,120,57841.53586826171,11191.477643962411,13397.508025168847,76.83756521320139,2206.030381206436,20000,0.3275720999808982,6027,
tsp.004,Simulated Annealing,120,60763.928170110536,11191.477643962411,10433.326618238254,82.82973643667371,-758.1510257241571,20000,0.35321560001466423,6028,1336
tsp.004,Tabu Search,120,60763.928170110536,11191.477643962411,12868.07150940679,78.82284457748976,1676.593865444378,20000,0.3438593000173569,6028,
tsp.004,Simulated Annealing,120,54639.990524847875,11191.477643962411,10497.192428976496,80.78844390684358,-694.2852149859154,20000,0.3475067999679595,6029,1342
tsp.004,Tabu Search,120,54639.990524847875,11191.477643962411,13080.96657106167,76.05972027921013,1889.488927099259,20000,0.32494730001781136,6029,
tsp.004,Simulated Annealing,120,58814.74844198163,11191.477643962411,10543.408288555875,82.07352990898784,-648.0693554065365,20000,0.45300669997232035,6030,1415
tsp.004,Tabu Search,120,58814.74844198163,11191.477643962411,12945.4203472355,77.98949975956178,1753.9427032730891,20000,0.3224374999990687,6030,
tsp.005,Simulated Annealing,120,64533.30760730148,10985.866177685515,10914.64610861844,83.08680197358498,-71.22006906707429,20000,0.3332731999689713,7026,1251
tsp.005,Tabu Search,120,64533.30760730148,10985.866177685515,14649.71722716095,77.29898285036387,3663.8510494754355,20000,0.3201156999566592,7026,
tsp.005,Simulated Annealing,120,63112.13299143953,10985.866177685515,9922.067858245367,84.27866816101559,-1063.7983194401477,20000,0.3509374000132084,7027,1217
tsp.005,Tabu Search,120,63112.13299143953,10985.866177685515,13509.18360871236,78.59495002245491,2523.317431026844,20000,0.3302574999979697,7027,
tsp.005,Simulated Annealing,120,64612.708404423094,10985.866177685515,10242.631155534242,84.1476523605485,-743.2350221512734,20000,0.36080460000084713,7028,1232
tsp.005,Tabu Search,120,64612.708404423094,10985.866177685515,13043.426907156103,79.81290797235299,2057.560729470588,20000,0.3392036000150256,7028,
tsp.005,Simulated Annealing,120,65702.2301487251,10985.866177685515,10188.446402693162,84.49299760505791,-797.4197749923533,20000,0.36018989997683093,7029,1300
tsp.005,Tabu Search,120,65702.2301487251,10985.866177685515,12980.586011952579,80.24330988070052,1994.7198342670636,20000,0.32701820001238957,7029,
tsp.005,Simulated Annealing,120,64984.54852624264,10985.866177685515,10510.640979427575,83.82593829180321,-475.22519825794006,20000,0.34204429999226704,7030,1264
tsp.005,Tabu Search,120,64984.54852624264,10985.866177685515,13891.77630189151,78.6229548147409,2905.910124205995,20000,0.3304727000067942,7030,
tsp.006,Simulated Annealing,120,62182.20443782476,10772.861394949143,10183.230003008002,83.62356224731452,-589.6313919411405,20000,0.34392660000594333,8026,1278
tsp.006,Tabu Search,120,62182.20443782476,10772.861394949143,13440.789355345576,78.38482974854188,2667.9279603964333,20000,0.3211798000265844,8026,
tsp.006,Simulated Annealing,120,60303.96281134011,10772.861394949143,10161.752294983846,83.14911355531525,-611.109099965297,20000,0.3403921000426635,8027,1315
