iteration,objective_evaluations,current_length,best_length,candidate_length,delta,temperature,accepted,accepted_worse
171,171,60351.27807783667,57340.92174655873,60351.27807783667,858.0009864912147,918.4927597143727,True,True
172,172,61138.4026908722,57340.92174655873,61138.4026908722,787.1246130355314,918.0335133345155,True,True
173,173,60570.93089006799,57340.92174655873,60570.93089006799,-567.4718008042142,917.5744965778483,True,False
174,174,60989.18217930464,57340.92174655873,60989.18217930464,418.2512892366499,917.1157093295594,True,True
175,175,61166.74321525777,57340.92174655873,61166.74321525777,177.56103595312834,916.6571514748947,True,True
176,176,61166.74321525777,57340.92174655873,61665.45963525191,498.71641999414345,916.1988228991573,False,False
177,177,60741.98389709336,57340.92174655873,60741.98389709336,-424.7593181644054,915.7407234877079,True,False
178,178,60798.21071293448,57340.92174655873,60798.21071293448,56.22681584111888,915.282853125964,True,True
179,179,60930.40056699359,57340.92174655873,60930.40056699359,132.18985405910303,914.8252116994012,True,True
180,180,61294.22313453355,57340.92174655873,61294.22313453355,363.8225675399628,914.3677990935515,True,True
181,181,61298.29288652348,57340.92174655873,61298.29288652348,4.069751989928562,913.9106151940048,True,True
182,182,59984.43105766293,57340.92174655873,59984.43105766293,-1313.8618288605485,913.4536598864076,True,False
183,183,60236.678782966126,57340.92174655873,60236.678782966126,252.2477253031998,912.9969330564645,True,True
184,184,59973.55006607,57340.92174655873,59973.55006607,-263.12871689613144,912.5404345899364,True,False
185,185,59175.024688978054,57340.92174655873,59175.024688978054,-798.5253770919414,912.0841643726415,True,False
186,186,59175.024688978054,57340.92174655873,59410.267029711504,235.2423407334528,911.6281222904552,False,False
187,187,59175.024688978054,57340.92174655873,59876.8107181064,701.7860291283438,911.17230822931,False,False
188,188,59274.50856672881,57340.92174655873,59274.50856672881,99.48387775075082,910.7167220751955,True,True
189,189,59274.50856672881,57340.92174655873,59682.83549251456,408.3269257857512,910.2613637141579,False,False
190,190,59274.50856672881,57340.92174655873,59628.514354850515,354.00578812170636,909.806233032301,False,False
191,191,58314.789900511074,57340.92174655873,58314.789900511074,-959.7186662177348,909.3513299157847,True,False
192,192,58314.789900511074,57340.92174655873,59231.5257989713,916.7358984602245,908.8966542508269,False,False
193,193,58087.87598514926,57340.92174655873,58087.87598514926,-226.9139153618197,908.4422059237015,True,False
194,194,57466.25631985253,57340.92174655873,57466.25631985253,-621.6196652967301,907.9879848207397,True,False
195,195,57401.656068895034,57340.92174655873,57401.656068895034,-64.60025095749756,907.5339908283294,True,False
196,196,57401.656068895034,57340.92174655873,58498.482500243445,1096.82643134841,907.0802238329153,False,False
197,197,57401.656068895034,57340.92174655873,58280.17831169204,878.52224279701,906.6266837209989,False,False
198,198,57971.1570681864,57340.92174655873,57971.1570681864,569.5009992913699,906.1733703791385,True,True
199,199,58045.61299678416,57340.92174655873,58045.61299678416,74.45592859776093,905.720283693949,True,True
200,200,57623.03732953435,57340.92174655873,57623.03732953435,-422.57566724981075,905.267423552102,True,False
201,201,57751.19190995143,57340.92174655873,57751.19190995143,128.15458041707512,904.8147898403261,True,True
202,202,58041.91012055508,57340.92174655873,58041.91012055508,290.7182106036528,904.362382445406,True,True
203,203,57946.63370922741,57340.92174655873,57946.63370922741,-95.27641132766894,903.9102012541833,True,False
204,204,57467.59848902645,57340.92174655873,57467.59848902645,-479.035220200959,903.4582461535562,True,False
205,205,57938.43623615723,57340.92174655873,57938.43623615723,470.83774713077895,903.0065170304795,True,True
206,206,57098.680232009014,57098.680232009014,57098.680232009014,-839.756004148214,902.5550137719644,True,False
207,207,57063.078398686484,57063.078398686484,57063.078398686484,-35.60183332253223,902.1037362650783,True,False
208,208,57063.078398686484,57063.078398686484,57791.24971895571,728.1713202692249,901.6526843969459,False,False
209,209,56526.90315291671,56526.90315291671,56526.90315291671,-536.1752457697717,901.2018580547475,True,False
210,210,56526.90315291671,56526.90315291671,57035.440166488195,508.53701357148503,900.7512571257201,False,False
211,211,56184.970240640316,56184.970240640316,56184.970240640316,-341.9329122763957,900.3008814971573,True,False
212,212,55696.815080029526,55696.815080029526,55696.815080029526,-488.1551606107912,899.8507310564088,True,False
213,213,56198.21835479135,55696.815080029526,56198.21835479135,501.4032747618251,899.4008056908807,True,True
214,214,56128.597532340784,55696.815080029526,56128.597532340784,-69.62082245056683,898.9511052880353,True,False
215,215,56214.22682854296,55696.815080029526,56214.22682854296,85.62929620217847,898.5016297353912,True,True
216,216,56133.55958228035,55696.815080029526,56133.55958228035,-80.66724626260816,898.0523789205236,True,False
217,217,55775.65223308821,55696.815080029526,55775.65223308821,-357.9073491921471,897.6033527310634,True,False
218,218,55529.02764722932,55529.02764722932,55529.02764722932,-246.62458585888982,897.1545510546979,True,False
219,219,55683.42393904163,55529.02764722932,55683.42393904163,154.39629181231373,896.7059737791706,True,True
220,220,55536.5705797072,55529.02764722932,55536.5705797072,-146.85335933443082,896.2576207922812,True,False
221,221,55542.94792776003,55529.02764722932,55542.94792776003,6.37734805283435,895.809491981885,True,True
222,222,54630.87542894902,54630.87542894902,54630.87542894902,-912.0724988110126,895.3615872358941,True,False
223,223,54402.39126984717,54402.39126984717,54402.39126984717,-228.48415910184985,894.9139064422762,True,False
224,224,54402.39126984717,54402.39126984717,54643.583342939986,241.1920730928149,894.4664494890552,False,False
225,225,54364.56228251288,54364.56228251288,54364.56228251288,-37.8289873342851,894.0192162643107,True,False
226,226,54296.30457446589,54296.30457446589,54296.30457446589,-68.25770804699437,893.5722066561785,True,False
227,227,54525.39554112343,54296.30457446589,54525.39554112343,229.09096665754254,893.1254205528505,True,True
228,228,54459.19257864741,54296.30457446589,54459.19257864741,-66.2029624760188,892.6788578425742,True,False
229,229,54459.19257864741,54296.30457446589,54663.60077083339,204.4081921859833,892.2325184136529,False,False
230,230,54459.19257864741,54296.30457446589,55465.110910466086,1005.9183318186749,891.7864021544461,False,False
231,231,53946.75141572132,53946.75141572132,53946.75141572132,-512.4411629260885,891.340508953369,True,False
232,232,53843.35516996809,53843.35516996809,53843.35516996809,-103.39624575323424,890.8948386988923,True,False
233,233,54184.63800147082,53843.35516996809,54184.63800147082,341.2828315027323,890.449391279543,True,True
234,234,54500.2805807439,53843.35516996809,54500.2805807439,315.64257927307995,890.0041665839032,True,True
235,235,54387.758482395126,53843.35516996809,54387.758482395126,-112.52209834877658,889.5591645006112,True,False
236,236,54307.10117353582,53843.35516996809,54307.10117353582,-80.6573088593064,889.114384918361,True,False
237,237,55242.404663395166,53843.35516996809,55242.404663395166,935.3034898593442,888.6698277259019,True,True
238,238,55331.36536374368,53843.35516996809,55331.36536374368,88.96070034851346,888.225492812039,True,True
239,239,54860.462924881904,53843.35516996809,54860.462924881904,-470.9024388617741,887.781380065633,True,False
240,240,54856.33538437639,53843.35516996809,54856.33538437639,-4.127540505511831,887.3374893756002,True,False
241,241,55753.83650815131,53843.35516996809,55753.83650815131,897.5011237749201,886.8938206309125,True,True
242,242,55077.44667523717,53843.35516996809,55077.44667523717,-676.3898329141409,886.4503737205971,True,False
243,243,55077.44667523717,53843.35516996809,56476.31880353488,1398.8721282977074,886.0071485337369,False,False
244,244,55228.57129885369,53843.35516996809,55228.57129885369,151.124623616519,885.56414495947,True,True
245,245,55299.20044012431,53843.35516996809,55299.20044012431,70.6291412706214,885.1213628869903,True,True
246,246,55339.06350404171,53843.35516996809,55339.06350404171,39.863063917397085,884.6788022055468,True,True
247,247,55464.25853601422,53843.35516996809,55464.25853601422,125.1950319725089,884.2364628044442,True,True
248,248,55465.98691044512,53843.35516996809,55465.98691044512,1.7283744309015674,883.7943445730419,True,True
249,249,55700.644235496715,53843.35516996809,55700.644235496715,234.65732505159352,883.3524474007555,True,True
250,250,55932.18021996835,53843.35516996809,55932.18021996835,231.53598447163444,882.9107711770552,True,True
251,251,56313.91814484068,53843.35516996809,56313.91814484068,381.73792487233345,882.4693157914667,True,True
252,252,56535.876403609844,53843.35516996809,56535.876403609844,221.95825876916206,882.028081133571,True,True
253,253,56414.12332997242,53843.35516996809,56414.12332997242,-121.75307363742127,881.5870670930043,True,False
254,254,56612.48553460271,53843.35516996809,56612.48553460271,198.36220463028897,881.1462735594579,True,True
