instance,n,m,neh_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,iterations,t_start,t_end,alpha,initial,neighborhood,seed
data.001,20,5,1286,1286,0,0.0,0.21021859999746084,1.990000600926578e-05,10000,1000.0,0.01,0.995,neh,swap,1123
data.002,20,5,1365,1365,0,0.0,0.20074210000166204,1.889999839477241e-05,10000,1000.0,0.01,0.995,neh,swap,2123
data.003,20,5,1159,1088,-71,6.125970664365832,0.2016682999965269,1.720000000204891e-05,10000,1000.0,0.01,0.995,neh,swap,3124
data.004,20,5,1325,1300,-25,1.8867924528301887,0.20604619999357965,1.8999999156221747e-05,10000,1000.0,0.01,0.995,neh,swap,4124
data.005,20,5,1305,1243,-62,4.75095785440613,0.20461729999806266,2.0699997548945248e-05,10000,1000.0,0.01,0.995,neh,swap,5124
