instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.004,20,5,1325,1325,1325,1300,-25,1.8867924528301887,0.20653939999465365,1.8300008377991617e-05,15,4124,13 17 9 11 2 16 19 1 12 15 20 7 4 10 5 8 6 14 3 18,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1243,-62,4.75095785440613,0.20352890000503976,1.820000761654228e-05,9,5123,12 13 5 17 4 16 6 15 19 3 9 11 10 2 14 18 7 1 20 8,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1244,-61,4.674329501915709,0.20202799999970011,1.790000533219427e-05,12,5124,12 4 3 13 5 9 19 17 16 6 15 11 10 2 18 14 7 8 20 1,t_start,10,10000,10.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.20173239998985082,1.8399994587525725e-05,102,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.20053069999266881,1.889999839477241e-05,137,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.202271699992707,2.2099993657320738e-05,104,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.2739995000010822,1.8499995348975062e-05,111,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.32502049999311566,3.0800001695752144e-05,90,3123,3 16 14 20 1 18 7 19 12 8 5 10 13 11 17 9 6 4 15 2,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.24162600000272505,2.7999994927085936e-05,81,3124,3 4 16 14 19 1 20 18 5 10 12 7 9 17 6 13 11 8 15 2,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1305,-20,1.509433962264151,0.3170100999996066,3.060000017285347e-05,123,4123,13 9 16 11 17 15 2 19 10 12 7 5 20 8 1 6 14 3 4 18,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1299,-26,1.9622641509433962,0.20309320000524167,1.930000144056976e-05,116,4124,13 9 16 7 17 11 12 15 2 20 19 10 1 5 6 8 14 3 4 18,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.204538699996192,1.8700011423788965e-05,110,5123,12 4 3 9 5 16 17 13 6 2 11 15 19 1 14 18 7 8 10 20,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.21750929999689106,1.7400001524947584e-05,95,5124,10 12 9 13 3 5 16 17 15 19 6 2 4 7 11 18 14 8 20 1,t_start,100,10000,100.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.20542430000205059,1.9799990695901215e-05,284,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.20334059999731835,1.8499995348975062e-05,290,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.2169731000030879,1.8400009139440954e-05,253,2123,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.20668540000042412,1.8100006855092943e-05,270,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.20398419999401085,1.7600003047846258e-05,254,3123,3 4 16 14 19 20 1 7 18 12 10 5 13 6 11 17 9 8 15 2,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.2040874999947846,1.9800005247816443e-05,267,3124,3 4 16 14 19 7 10 18 20 12 8 5 1 17 9 11 13 6 15 2,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1309,-16,1.2075471698113207,0.20594829999026842,1.9400002202019095e-05,283,4123,13 16 11 19 17 9 2 15 12 7 20 5 10 1 8 14 3 4 18 6,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1300,-25,1.8867924528301887,0.20479839999461547,1.8700011423788965e-05,286,4124,13 17 9 11 7 16 19 1 20 15 2 12 10 4 5 8 6 14 3 18,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.19918530000722967,1.9099999917671084e-05,284,5123,12 9 15 19 6 17 4 13 18 16 5 10 2 11 1 3 14 7 8 20,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1243,-62,4.75095785440613,0.2040262999944389,1.8000006093643606e-05,247,5124,12 3 5 19 13 9 10 17 4 16 6 15 11 2 14 18 7 1 20 8,t_start,1000,10000,1000.0,0.01,0.995,neh,swap
