iteration,current_cmax,best_cmax,candidate_cmax,move_i,move_j,tabu_used,improved_best,objective_evaluations
127,27932,27932,27932,115,427,False,True,5080
128,27929,27929,27929,355,400,False,True,5120
129,27929,27929,27929,91,94,False,False,5160
130,27917,27917,27917,316,358,False,True,5200
131,27917,27917,27917,312,359,False,False,5240
132,27909,27909,27909,442,455,False,True,5280
133,27901,27901,27901,66,268,False,True,5320
134,27892,27892,27892,432,436,False,True,5360
135,27885,27885,27885,411,484,False,True,5400
136,27885,27885,27885,148,169,False,False,5440
137,27890,27885,27890,415,468,False,False,5480
138,27888,27885,27888,385,405,False,False,5520
139,27884,27884,27884,349,362,False,True,5560
140,27876,27876,27876,180,208,False,True,5600
141,27865,27865,27865,233,271,False,True,5640
142,27847,27847,27847,123,138,False,True,5680
143,27843,27843,27843,294,300,False,True,5720
144,27830,27830,27830,328,350,False,True,5760
145,27815,27815,27815,339,352,False,True,5800
146,27814,27814,27814,202,217,False,True,5840
147,27809,27809,27809,398,414,False,True,5880
148,27809,27809,27809,352,353,False,False,5920
149,27809,27809,27809,60,61,False,False,5960
150,27810,27809,27810,129,145,False,False,6000
151,27817,27809,27817,73,278,False,False,6040
152,27819,27809,27819,104,403,False,False,6080
153,27790,27790,27790,343,425,False,True,6120
154,27776,27776,27776,96,417,False,True,6160
155,27749,27749,27749,327,437,False,True,6200
156,27740,27740,27740,416,462,False,True,6240
157,27726,27726,27726,52,101,False,True,6280
158,27744,27726,27744,259,269,False,False,6320
159,27744,27726,27744,19,107,False,False,6360
160,27744,27726,27744,256,260,False,False,6400
161,27744,27726,27744,220,224,False,False,6440
162,27768,27726,27768,5,34,False,False,6480
163,27759,27726,27759,325,338,False,False,6520
164,27759,27726,27759,340,353,False,False,6560
165,27759,27726,27759,207,212,False,False,6600
166,27749,27726,27749,10,16,False,False,6640
167,27749,27726,27749,50,73,False,False,6680
168,27733,27726,27733,32,33,False,False,6720
169,27733,27726,27733,316,322,False,False,6760
170,27733,27726,27733,297,313,False,False,6800
171,27736,27726,27736,468,478,False,False,6840
172,27736,27726,27736,318,327,False,False,6880
173,27729,27726,27729,228,421,False,False,6920
174,27729,27726,27729,160,166,False,False,6960
175,27726,27726,27726,42,107,False,False,7000
176,27724,27724,27724,116,262,False,True,7040
177,27718,27718,27718,34,490,False,True,7080
178,27718,27718,27718,90,107,False,False,7120
179,27709,27709,27709,300,394,False,True,7160
180,27709,27709,27709,163,167,False,False,7200
181,27702,27702,27702,29,111,False,True,7240
182,27675,27675,27675,25,398,False,True,7280
183,27675,27675,27675,374,386,False,False,7320
184,27654,27654,27654,18,198,False,True,7360
185,27673,27654,27673,435,466,False,False,7400
186,27662,27654,27662,432,442,False,False,7440
187,27662,27654,27662,300,328,False,False,7480
188,27664,27654,27664,76,348,False,False,7520
189,27664,27654,27664,147,152,False,False,7560
190,27664,27654,27664,278,291,False,False,7600
191,27664,27654,27664,303,353,False,False,7640
192,27664,27654,27664,178,184,False,False,7680
193,27675,27654,27675,438,457,False,False,7720
194,27653,27653,27653,85,102,False,True,7760
195,27653,27653,27653,359,368,False,False,7800
196,27629,27629,27629,45,404,False,True,7840
197,27629,27629,27629,148,162,False,False,7880
198,27629,27629,27629,159,163,False,False,7920
199,27629,27629,27629,246,262,False,False,7960
200,27629,27629,27629,53,125,False,False,8000
201,27629,27629,27629,90,111,False,False,8040
202,27636,27629,27636,18,264,False,False,8080
203,27628,27628,27628,62,132,False,True,8120
204,27624,27624,27624,241,444,False,True,8160
205,27624,27624,27624,306,382,False,False,8200
206,27608,27608,27608,6,391,False,True,8240
207,27593,27593,27593,181,428,False,True,8280
208,27593,27593,27593,229,237,False,False,8320
209,27586,27586,27586,380,426,False,True,8360
210,27585,27585,27585,39,228,False,True,8400
211,27585,27585,27585,63,135,False,False,8440
212,27572,27572,27572,173,267,False,True,8480
213,27562,27562,27562,149,335,False,True,8520
214,27556,27556,27556,216,311,False,True,8560
215,27544,27544,27544,86,168,False,True,8600
216,27531,27531,27531,35,312,False,True,8640
217,27509,27509,27509,82,95,False,True,8680
218,27496,27496,27496,249,297,False,True,8720
219,27496,27496,27496,250,253,False,False,8760
220,27495,27495,27495,43,197,False,True,8800
221,27495,27495,27495,160,177,False,False,8840
222,27494,27494,27494,39,216,False,True,8880
223,27494,27494,27494,229,245,False,False,8920
224,27491,27491,27491,489,498,False,True,8960
225,27491,27491,27491,216,242,False,False,9000
226,27491,27491,27491,434,437,False,False,9040
227,27475,27475,27475,60,155,False,True,9080
228,27466,27466,27466,398,452,False,True,9120
229,27466,27466,27466,441,474,False,False,9160
230,27466,27466,27466,111,132,False,False,9200
231,27466,27466,27466,248,252,False,False,9240
232,27466,27466,27466,102,109,False,False,9280
233,27466,27466,27466,194,209,False,False,9320
234,27466,27466,27466,14,15,False,False,9360
235,27466,27466,27466,106,123,False,False,9400
236,27466,27466,27466,198,223,False,False,9440
237,27466,27466,27466,380,381,False,False,9480
238,27454,27454,27454,227,301,False,True,9520
239,27446,27446,27446,266,317,False,True,9560
240,27445,27445,27445,386,412,False,True,9600
241,27438,27438,27438,30,125,False,True,9640
242,27438,27438,27438,236,267,False,False,9680
243,27438,27438,27438,274,277,False,False,9720
244,27438,27438,27438,340,348,False,False,9760
245,27431,27431,27431,468,472,False,True,9800
246,27431,27431,27431,118,119,False,False,9840
247,27431,27431,27431,331,332,False,False,9880
248,27431,27431,27431,76,89,False,False,9920
249,27426,27426,27426,231,382,False,True,9960
250,27413,27413,27413,183,191,False,True,10000
251,27413,27413,27413,473,485,False,False,10040
252,27413,27413,27413,419,425,False,False,10080
253,27413,27413,27413,343,350,False,False,10120
254,27413,27413,27413,13,17,False,False,10160
255,27404,27404,27404,10,191,False,True,10200
256,27378,27378,27378,190,387,False,True,10240
257,27373,27373,27373,14,395,False,True,10280
258,27367,27367,27367,151,272,False,True,10320
259,27365,27365,27365,256,266,False,True,10360
260,27356,27356,27356,252,284,False,True,10400
261,27356,27356,27356,209,238,False,False,10440
262,27355,27355,27355,312,318,False,True,10480
263,27357,27355,27357,394,398,False,False,10520
264,27383,27355,27383,48,266,False,False,10560
265,27387,27355,27387,39,269,False,False,10600
266,27354,27354,27354,169,264,False,True,10640
267,27354,27354,27354,285,286,False,False,10680
268,27351,27351,27351,29,43,False,True,10720
269,27350,27350,27350,134,438,False,True,10760
270,27347,27347,27347,37,87,False,True,10800
271,27342,27342,27342,284,421,False,True,10840
272,27342,27342,27342,318,358,False,False,10880
273,27336,27336,27336,463,490,False,True,10920
274,27336,27336,27336,477,482,False,False,10960
275,27325,27325,27325,391,432,False,True,11000
276,27325,27325,27325,152,248,False,False,11040
277,27325,27325,27325,275,288,False,False,11080
278,27325,27325,27325,123,148,False,False,11120
279,27322,27322,27322,11,12,False,True,11160
280,27330,27322,27330,298,313,False,False,11200
281,27330,27322,27330,339,487,False,False,11240
282,27344,27322,27344,362,389,False,False,11280
283,27344,27322,27344,255,257,False,False,11320
284,27344,27322,27344,16,60,False,False,11360
285,27351,27322,27351,295,398,False,False,11400
286,27351,27322,27351,246,258,False,False,11440
287,27346,27322,27346,164,203,False,False,11480
288,27342,27322,27342,378,394,False,False,11520
289,27342,27322,27342,225,230,False,False,11560
290,27332,27322,27332,243,354,False,False,11600
291,27332,27322,27332,192,204,False,False,11640
292,27332,27322,27332,134,137,False,False,11680
293,27324,27322,27324,435,477,False,False,11720
294,27320,27320,27320,111,270,False,True,11760
295,27326,27320,27326,152,191,False,False,11800
296,27326,27320,27326,23,55,False,False,11840
297,27326,27320,27326,394,395,False,False,11880
298,27326,27320,27326,252,270,False,False,11920
299,27326,27320,27326,409,415,False,False,11960
300,27329,27320,27329,203,302,False,False,12000
301,27321,27320,27321,291,303,False,False,12040
302,27343,27320,27343,36,252,False,False,12080
303,27341,27320,27341,48,122,False,False,12120
304,27331,27320,27331,239,266,False,False,12160
305,27336,27320,27336,421,433,False,False,12200
306,27336,27320,27336,177,217,False,False,12240
307,27336,27320,27336,60,62,False,False,12280
308,27343,27320,27343,305,353,False,False,12320
309,27343,27320,27343,86,111,False,False,12360
310,27343,27320,27343,65,79,False,False,12400
311,27329,27320,27329,437,479,False,False,12440
312,27329,27320,27329,291,443,False,False,12480
313,27339,27320,27339,284,302,False,False,12520
314,27335,27320,27335,121,219,False,False,12560
315,27335,27320,27335,132,143,False,False,12600
316,27329,27320,27329,12,169,False,False,12640
317,27329,27320,27329,280,297,False,False,12680
318,27329,27320,27329,384,406,False,False,12720
319,27329,27320,27329,327,329,False,False,12760
320,27329,27320,27329,300,309,False,False,12800
321,27320,27320,27320,346,404,False,False,12840
322,27299,27299,27299,357,372,False,True,12880
323,27299,27299,27299,109,110,False,False,12920
324,27299,27299,27299,62,64,False,False,12960
325,27299,27299,27299,327,332,False,False,13000
326,27299,27299,27299,225,282,False,False,13040
327,27299,27299,27299,223,231,False,False,13080
328,27320,27299,27320,180,457,False,False,13120
329,27320,27299,27320,118,151,False,False,13160
330,27314,27299,27314,264,269,False,False,13200
331,27314,27299,27314,89,92,False,False,13240
332,27313,27299,27313,203,239,False,False,13280
333,27286,27286,27286,179,267,False,True,13320
334,27286,27286,27286,485,486,False,False,13360
335,27284,27284,27284,148,383,False,True,13400
336,27284,27284,27284,109,115,False,False,13440
337,27284,27284,27284,396,398,False,False,13480
338,27284,27284,27284,97,117,False,False,13520
339,27279,27279,27279,128,176,False,True,13560
