iteration,temperature,current_cmax,best_cmax,candidate_cmax,delta,accepted,accepted_worse
189,389.70787350474137,1553,1286,1553,7,True,True
190,387.75933413721765,1561,1286,1561,8,True,True
191,385.82053746653156,1534,1286,1534,-27,True,False
192,383.8914347791989,1534,1286,1534,0,True,False
193,381.9719776053029,1546,1286,1546,12,True,True
194,380.0621177172764,1529,1286,1529,-17,True,False
195,378.16180712869004,1568,1286,1568,39,True,True
196,376.27099809304656,1554,1286,1554,-14,True,False
197,374.3896431025813,1560,1286,1560,6,True,True
198,372.51769488706844,1528,1286,1528,-32,True,False
199,370.6551064126331,1444,1286,1444,-84,True,False
200,368.80183088056987,1466,1286,1466,22,True,True
201,366.957821726167,1466,1286,1466,0,True,False
202,365.1230326175362,1451,1286,1451,-15,True,False
203,363.2974174544485,1509,1286,1509,58,True,True
204,361.4809303671763,1509,1286,1509,0,True,False
205,359.6735257153404,1508,1286,1508,-1,True,False
206,357.87515808676375,1475,1286,1475,-33,True,False
207,356.08578229632985,1475,1286,1538,63,False,False
208,354.3053533848483,1546,1286,1546,71,True,True
209,352.533826617924,1571,1286,1571,25,True,True
210,350.7711574848344,1541,1286,1541,-30,True,False
211,349.0173016974102,1465,1286,1465,-76,True,False
212,347.27221518892316,1483,1286,1483,18,True,True
213,345.53585411297854,1540,1286,1540,57,True,True
214,343.8081748424137,1458,1286,1458,-82,True,False
215,342.08913396820157,1467,1286,1467,9,True,True
216,340.37868829836054,1439,1286,1439,-28,True,False
217,338.67679485686875,1422,1286,1422,-17,True,False
218,336.98341088258445,1422,1286,1422,0,True,False
219,335.2984938281715,1422,1286,1422,0,True,False
220,333.62200135903066,1422,1286,1422,0,True,False
221,331.9538913522355,1436,1286,1436,14,True,True
222,330.2941218954743,1448,1286,1448,12,True,True
223,328.6426512859969,1539,1286,1539,91,True,True
224,326.99943802956693,1566,1286,1566,27,True,True
225,325.3644408394191,1624,1286,1624,58,True,True
226,323.73761863522196,1580,1286,1580,-44,True,False
227,322.11893054204586,1609,1286,1609,29,True,True
228,320.5083358893356,1634,1286,1634,25,True,True
229,318.90579420988894,1589,1286,1589,-45,True,False
230,317.3112652388395,1604,1286,1604,15,True,True
231,315.7247089126453,1604,1286,1604,0,True,False
232,314.1460853680821,1630,1286,1630,26,True,True
233,312.57535494124164,1652,1286,1652,22,True,True
234,311.0124781665355,1639,1286,1639,-13,True,False
235,309.45741577570277,1623,1286,1623,-16,True,False
236,307.91012869682424,1623,1286,1662,39,False,False
237,306.3705780533402,1520,1286,1520,-103,True,False
238,304.8387251630735,1538,1286,1538,18,True,True
239,303.31453153725806,1538,1286,1538,0,True,False
240,301.7979588795718,1538,1286,1538,0,True,False
241,300.28896908517396,1573,1286,1573,35,True,True
242,298.7875242397481,1527,1286,1527,-46,True,False
243,297.29358661854934,1527,1286,1527,0,True,False
244,295.80711868545654,1499,1286,1499,-28,True,False
245,294.3280830920293,1513,1286,1513,14,True,True
246,292.85644267656915,1481,1286,1481,-32,True,False
247,291.39216046318626,1446,1286,1446,-35,True,False
248,289.9351996608704,1439,1286,1439,-7,True,False
249,288.48552366256604,1439,1286,1439,0,True,False
250,287.0430960442532,1457,1286,1457,18,True,True
251,285.6078805640319,1498,1286,1498,41,True,True
252,284.17984116121175,1520,1286,1520,22,True,True
253,282.7589419554057,1520,1286,1520,0,True,False
254,281.34514724562865,1501,1286,1501,-19,True,False
255,279.93842150940054,1501,1286,1574,73,False,False
256,278.5387294018535,1501,1286,1501,0,True,False
257,277.14603575484426,1556,1286,1556,55,True,True
258,275.76030557607,1556,1286,1556,0,True,False
259,274.3815040481897,1525,1286,1525,-31,True,False
260,273.0095965279487,1480,1286,1480,-45,True,False
261,271.644548545309,1508,1286,1508,28,True,True
262,270.28632580258244,1530,1286,1530,22,True,True
263,268.93489417356955,1530,1286,1601,71,False,False
264,267.5902197027017,1530,1286,1530,0,True,False
265,266.25226860418815,1485,1286,1485,-45,True,False
266,264.92100726116723,1485,1286,1485,0,True,False
267,263.5964022248614,1485,1286,1485,0,True,False
268,262.2784202137371,1485,1286,1496,11,False,False
269,260.96702811266834,1479,1286,1479,-6,True,False
270,259.662192972105,1472,1286,1472,-7,True,False
271,258.3638820072445,1472,1286,1472,0,True,False
272,257.0720625972083,1458,1286,1458,-14,True,False
273,255.78670228422223,1531,1286,1531,73,True,True
274,254.5077687728011,1528,1286,1528,-3,True,False
275,253.23522992893714,1528,1286,1528,0,True,False
276,251.96905377929247,1528,1286,1528,0,True,False
277,250.70920851039597,1579,1286,1579,51,True,True
278,249.455662467844,1579,1286,1579,0,True,False
279,248.20838415550477,1546,1286,1546,-33,True,False
280,246.96734223472725,1530,1286,1530,-16,True,False
281,245.7325055235536,1507,1286,1507,-23,True,False
282,244.50384299593586,1512,1286,1512,5,True,True
283,243.28132378095617,1516,1286,1516,4,True,True
284,242.0649171620514,1519,1286,1519,3,True,True
285,240.85459257624112,1485,1286,1485,-34,True,False
286,239.65031961335993,1540,1286,1540,55,True,True
287,238.45206801529312,1500,1286,1500,-40,True,False
288,237.25980767521665,1493,1286,1493,-7,True,False
289,236.07350863684056,1455,1286,1455,-38,True,False
290,234.89314109365637,1453,1286,1453,-2,True,False
291,233.71867538818807,1480,1286,1480,27,True,True
292,232.55008201124713,1487,1286,1487,7,True,True
293,231.3873316011909,1489,1286,1489,2,True,True
294,230.23039494318496,1467,1286,1467,-22,True,False
295,229.079242968469,1518,1286,1518,51,True,True
296,227.93384675362668,1549,1286,1549,31,True,True
297,226.79417751985855,1549,1286,1549,0,True,False
298,225.66020663225925,1549,1286,1549,0,True,False
299,224.53190559909794,1549,1286,1549,0,True,False
300,223.40924607110247,1549,1286,1549,0,True,False
301,222.29219984074695,1523,1286,1523,-26,True,False
302,221.18073884154322,1552,1286,1552,29,True,True
303,220.0748351473355,1551,1286,1551,-1,True,False
304,218.9744609715988,1541,1286,1541,-10,True,False
305,217.8795886667408,1541,1286,1589,48,False,False
306,216.7901907234071,1535,1286,1535,-6,True,False
307,215.70623976979007,1535,1286,1535,0,True,False
308,214.62770857094114,1550,1286,1550,15,True,True
309,213.55457002808643,1553,1286,1553,3,True,True
310,212.486797177946,1537,1286,1537,-16,True,False
311,211.42436319205626,1560,1286,1560,23,True,True
312,210.36724137609596,1536,1286,1536,-24,True,False
313,209.3154051692155,1536,1286,1549,13,False,False
314,208.2688281433694,1561,1286,1561,25,True,True
315,207.22748400265257,1561,1286,1561,0,True,False
316,206.19134658263928,1558,1286,1558,-3,True,False
317,205.16038984972613,1569,1286,1569,11,True,True
318,204.13458790047747,1480,1286,1480,-89,True,False
319,203.11391496097508,1502,1286,1502,22,True,True
320,202.09834538617022,1534,1286,1534,32,True,True
321,201.08785365923936,1534,1286,1534,0,True,False
322,200.08241439094314,1534,1286,1534,0,True,False
323,199.08200231898846,1515,1286,1515,-19,True,False
324,198.08659230739352,1474,1286,1474,-41,True,False
325,197.09615934585653,1474,1286,1520,46,False,False
326,196.11067854912724,1526,1286,1526,52,True,True
327,195.1301251563816,1526,1286,1526,0,True,False
328,194.15447453059969,1518,1286,1518,-8,True,False
329,193.1837021579467,1506,1286,1506,-12,True,False
330,192.21778364715698,1510,1286,1510,4,True,True
331,191.2566947289212,1510,1286,1510,0,True,False
332,190.30041125527657,1505,1286,1505,-5,True,False
333,189.3489091990002,1505,1286,1505,0,True,False
334,188.4021646530052,1532,1286,1532,27,True,True
335,187.46015382974016,1536,1286,1536,4,True,True
336,186.52285306059147,1536,1286,1536,0,True,False
337,185.5902387952885,1450,1286,1450,-86,True,False
338,184.66228760131207,1445,1286,1445,-5,True,False
339,183.7389761633055,1516,1286,1516,71,True,True
340,182.820281282489,1516,1286,1516,0,True,False
341,181.90617987607652,1516,1286,1516,0,True,False
342,180.99664897669615,1506,1286,1506,-10,True,False
343,180.09166573181264,1557,1286,1557,51,True,True
344,179.1912074031536,1557,1286,1557,0,True,False
345,178.29525136613782,1605,1286,1605,48,True,True
346,177.40377510930713,1605,1286,1605,0,True,False
347,176.5167562337606,1520,1286,1520,-85,True,False
348,175.6341724525918,1486,1286,1486,-34,True,False
349,174.75600159032882,1520,1286,1520,34,True,True
350,173.8822215823772,1575,1286,1575,55,True,True
351,173.0128104744653,1590,1286,1590,15,True,True
352,172.14774642209298,1590,1286,1590,0,True,False
353,171.28700768998252,1590,1286,1590,0,True,False
354,170.4305726515326,1600,1286,1600,10,True,True
355,169.5784197882749,1561,1286,1561,-39,True,False
356,168.73052768933354,1533,1286,1533,-28,True,False
357,167.88687505088689,1540,1286,1540,7,True,True
358,167.04744067563246,1540,1286,1540,0,True,False
359,166.2122034722543,1502,1286,1502,-38,True,False
360,165.38114245489302,1487,1286,1487,-15,True,False
361,164.55423674261857,1525,1286,1525,38,True,True
362,163.73146555890548,1525,1286,1525,0,True,False
363,162.91280823111092,1525,1286,1525,0,True,False
364,162.09824418995538,1519,1286,1519,-6,True,False
365,161.2877529690056,1507,1286,1507,-12,True,False
366,160.48131420416055,1525,1286,1525,18,True,True
367,159.67890763313977,1526,1286,1526,1,True,True
368,158.88051309497408,1554,1286,1554,28,True,True
369,158.0861105294992,1509,1286,1509,-45,True,False
370,157.29567997685172,1492,1286,1492,-17,True,False
371,156.50920157696743,1513,1286,1513,21,True,True
372,155.7266555690826,1513,1286,1513,0,True,False
373,154.94802229123718,1513,1286,1513,0,True,False
374,154.173282179781,1456,1286,1456,-57,True,False
375,153.40241576888212,1456,1286,1456,0,True,False
376,152.6354036900377,1425,1286,1425,-31,True,False
377,151.8722266715875,1397,1286,1397,-28,True,False
378,151.11286553822956,1397,1286,1490,93,False,False
379,150.35730121053842,1413,1286,1413,16,True,True
380,149.60551470448573,1497,1286,1497,84,True,True
381,148.85748713096328,1496,1286,1496,-1,True,False
382,148.11319969530848,1471,1286,1471,-25,True,False
383,147.37263369683194,1480,1286,1480,9,True,True
384,146.6357705283478,1444,1286,1444,-36,True,False
385,145.90259167570605,1415,1286,1415,-29,True,False
386,145.1730787173275,1415,1286,1503,88,False,False
387,144.44721332374087,1444,1286,1444,29,True,True
388,143.72497725712216,1509,1286,1509,65,True,True
389,143.00635237083657,1509,1286,1509,0,True,False
390,142.29132060898237,1473,1286,1473,-36,True,False
391,141.57986400593745,1471,1286,1471,-2,True,False
392,140.87196468590776,1484,1286,1484,13,True,True
393,140.16760486247824,1567,1286,1567,83,True,True
394,139.46676683816582,1600,1286,1600,33,True,True
395,138.76943300397502,1524,1286,1524,-76,True,False
396,138.07558583895513,1525,1286,1525,1,True,True
397,137.38520790976037,1551,1286,1551,26,True,True
398,136.69828187021156,1537,1286,1537,-14,True,False
399,136.0147904608605,1540,1286,1540,3,True,True
400,135.3347165085562,1632,1286,1632,92,True,True
401,134.65804292601342,1597,1286,1597,-35,True,False
402,133.98475271138332,1597,1286,1632,35,False,False
403,133.3148289478264,1597,1286,1597,0,True,False
404,132.6482548030873,1611,1286,1611,14,True,True
405,131.98501352907186,1536,1286,1536,-75,True,False
406,131.32508846142647,1566,1286,1566,30,True,True
407,130.66846301911934,1576,1286,1576,10,True,True
408,130.01512070402376,1568,1286,1568,-8,True,False
409,129.36504510050364,1568,1286,1568,0,True,False
410,128.71821987500113,1531,1286,1531,-37,True,False
411,128.0746287756261,1540,1286,1540,9,True,True
412,127.43425563174799,1541,1286,1541,1,True,True
413,126.79708435358924,1520,1286,1520,-21,True,False
414,126.16309893182128,1520,1286,1520,0,True,False
415,125.53228343716219,1542,1286,1542,22,True,True
416,124.90462201997637,1523,1286,1523,-19,True,False
417,124.2800989098765,1523,1286,1523,0,True,False
418,123.65869841532712,1534,1286,1534,11,True,True
419,123.04040492325048,1475,1286,1475,-59,True,False
420,122.42520289863423,1509,1286,1509,34,True,True
421,121.81307688414105,1509,1286,1509,0,True,False
422,121.20401149972035,1495,1286,1495,-14,True,False
423,120.59799144222174,1495,1286,1495,0,True,False
424,119.99500148501063,1495,1286,1495,0,True,False
425,119.39502647758559,1509,1286,1509,14,True,True
426,118.79805134519765,1509,1286,1509,0,True,False
427,118.20406108847166,1592,1286,1592,83,True,True
428,117.6130407830293,1592,1286,1592,0,True,False
429,117.02497557911417,1592,1286,1592,0,True,False
430,116.43985070121857,1602,1286,1602,10,True,True
431,115.8576514477125,1629,1286,1629,27,True,True
432,115.27836319047394,1615,1286,1615,-14,True,False
433,114.70197137452156,1580,1286,1580,-35,True,False
434,114.12846151764896,1551,1286,1551,-29,True,False
435,113.55781921006071,1551,1286,1551,0,True,False
436,112.99003011401041,1551,1286,1551,0,True,False
437,112.42507996344035,1534,1286,1534,-17,True,False
438,111.86295456362315,1534,1286,1534,0,True,False
439,111.30363979080502,1564,1286,1564,30,True,True
440,110.747121591851,1569,1286,1569,5,True,True
441,110.19338598389174,1527,1286,1527,-42,True,False
442,109.64241905397229,1527,1286,1527,0,True,False
443,109.09420695870243,1532,1286,1532,5,True,True
444,108.54873592390892,1548,1286,1548,16,True,True
445,108.00599224428937,1569,1286,1569,21,True,True
446,107.46596228306792,1569,1286,1601,32,False,False
447,106.92863247165259,1548,1286,1548,-21,True,False
448,106.39398930929433,1587,1286,1587,39,True,True
449,105.86201936274784,1585,1286,1585,-2,True,False
450,105.3327092659341,1608,1286,1608,23,True,True
451,104.80604571960443,1643,1286,1643,35,True,True
452,104.28201549100642,1663,1286,1663,20,True,True
453,103.76060541355137,1675,1286,1675,12,True,True
454,103.24180238648363,1592,1286,1592,-83,True,False
455,102.72559337455121,1563,1286,1563,-29,True,False
456,102.21196540767845,1569,1286,1569,6,True,True
457,101.70090558064005,1625,1286,1625,56,True,True
458,101.19240105273686,1642,1286,1642,17,True,True
459,100.68643904747317,1642,1286,1642,0,True,False
460,100.1830068522358,1597,1286,1597,-45,True,False
461,99.68209181797464,1596,1286,1596,-1,True,False
462,99.18368135888475,1582,1286,1582,-14,True,False
463,98.68776295209034,1582,1286,1582,0,True,False
464,98.19432413732989,1585,1286,1585,3,True,True
465,97.70335251664322,1577,1286,1577,-8,True,False
466,97.21483575406,1522,1286,1522,-55,True,False
467,96.72876157528971,1466,1286,1466,-56,True,False
468,96.24511776741326,1522,1286,1522,56,True,True
469,95.7638921785762,1522,1286,1522,0,True,False
470,95.28507271768332,1580,1286,1580,58,True,True
471,94.8086473540949,1570,1286,1570,-10,True,False
472,94.33460411732442,1531,1286,1531,-39,True,False
473,93.8629310967378,1532,1286,1532,1,True,True
474,93.39361644125411,1514,1286,1514,-18,True,False
475,92.92664835904783,1500,1286,1500,-14,True,False
476,92.4620151172526,1516,1286,1516,16,True,True
477,91.99970504166633,1516,1286,1516,0,True,False
478,91.539706516458,1486,1286,1486,-30,True,False
479,91.08200798387571,1486,1286,1486,0,True,False
480,90.62659794395633,1512,1286,1512,26,True,True
481,90.17346495423655,1512,1286,1539,27,False,False
482,89.72259762946537,1484,1286,1484,-28,True,False
483,89.27398464131804,1519,1286,1519,35,True,True
484,88.82761471811145,1526,1286,1526,7,True,True
485,88.3834766445209,1549,1286,1549,23,True,True
486,87.9415592612983,1446,1286,1446,-103,True,False
487,87.5018514649918,1446,1286,1500,54,False,False
488,87.06434220766683,1428,1286,1428,-18,True,False
489,86.6290204966285,1428,1286,1428,0,True,False
490,86.19587539414536,1428,1286,1428,0,True,False
491,85.76489601717464,1346,1286,1346,-82,True,False
492,85.33607153708876,1349,1286,1349,3,True,True
493,84.90939117940331,1363,1286,1363,14,True,True
494,84.4848442235063,1363,1286,1371,8,False,False
495,84.06242000238876,1438,1286,1438,75,True,True
496,83.64210790237682,1413,1286,1413,-25,True,False
497,83.22389736286493,1441,1286,1441,28,True,True
498,82.80777787605061,1417,1286,1417,-24,True,False
499,82.39373898667037,1413,1286,1413,-4,True,False
500,81.981770291737,1408,1286,1408,-5,True,False
501,81.57186144027833,1445,1286,1445,37,True,True
502,81.16400213307692,1435,1286,1435,-10,True,False
503,80.75818212241154,1435,1286,1435,0,True,False
504,80.3543912117995,1435,1286,1458,23,False,False
505,79.95261925574049,1401,1286,1401,-34,True,False
506,79.55285615946178,1401,1286,1479,78,False,False
507,79.15509187866446,1438,1286,1438,37,True,True
508,78.75931641927116,1447,1286,1447,9,True,True
509,78.3655198371748,1435,1286,1435,-12,True,False
510,77.97369223798891,1435,1286,1454,19,False,False
511,77.58382377679898,1459,1286,1459,24,True,True
512,77.19590465791498,1459,1286,1471,12,False,False
513,76.8099251346254,1545,1286,1545,86,True,True
514,76.42587550895227,1585,1286,1585,40,True,True
515,76.04374613140752,1604,1286,1604,19,True,True
516,75.66352740075048,1612,1286,1612,8,True,True
517,75.28520976374672,1624,1286,1624,12,True,True
518,74.90878371492799,1594,1286,1594,-30,True,False
519,74.53423979635335,1634,1286,1634,40,True,True
520,74.16156859737158,1601,1286,1601,-33,True,False
521,73.79076075438473,1601,1286,1601,0,True,False
522,73.4218069506128,1601,1286,1601,0,True,False
523,73.05469791585973,1601,1286,1601,0,True,False
524,72.68942442628044,1629,1286,1629,28,True,True
525,72.32597730414903,1629,1286,1629,0,True,False
526,71.96434741762829,1629,1286,1629,0,True,False
527,71.60452568054015,1629,1286,1636,7,False,False
528,71.24650305213746,1629,1286,1629,0,True,False
529,70.89027053687676,1612,1286,1612,-17,True,False
530,70.53581918419238,1578,1286,1578,-34,True,False
531,70.18314008827141,1578,1286,1612,34,False,False
532,69.83222438783005,1578,1286,1578,0,True,False
533,69.4830632658909,1578,1286,1578,0,True,False
534,69.13564794956145,1555,1286,1555,-23,True,False
535,68.78996970981365,1466,1286,1466,-89,True,False
536,68.44601986126457,1466,1286,1495,29,False,False
537,68.10378976195825,1466,1286,1551,85,False,False
538,67.76327081314847,1466,1286,1466,0,True,False
539,67.42445445908272,1471,1286,1471,5,True,True
540,67.08733218678731,1471,1286,1514,43,False,False
541,66.75189552585337,1460,1286,1460,-11,True,False
542,66.41813604822411,1460,1286,1472,12,False,False
543,66.08604536798299,1460,1286,1511,51,False,False
544,65.75561514114305,1492,1286,1492,32,True,True
545,65.42683706543735,1495,1286,1495,3,True,True
546,65.09970288011016,1489,1286,1489,-6,True,False
547,64.77420436570962,1495,1286,1495,6,True,True
548,64.45033334388106,1477,1286,1477,-18,True,False
549,64.12808167716166,1477,1286,1524,47,False,False
550,63.807441268775854,1477,1286,1512,35,False,False
