experiment,variant,mean_sa_best_cmax,mean_improvement_percent,min_improvement_percent,max_improvement_percent,mean_sa_time,runs
alpha,0.9,1260.5,2.2315753297048166,0.0,6.125970664365832,0.18624937999848043,10
alpha,0.95,1255.6,2.60305680853828,0.0,6.125970664365832,0.18619300999998814,10
alpha,0.99,1256.8,2.528206749779314,0.0,6.729939603106126,0.1868725899985293,10
alpha,0.995,1258.0,2.4311798192752483,0.0,6.125970664365832,0.1842363999981899,10
initial,neh,1258.0,2.4311798192752483,0.0,6.125970664365832,0.185373630002141,10
initial,random,1262.0,2.1208787919307803,-0.8553654743390358,6.729939603106126,0.18282140999799595,10
iterations,1000,1286.4,0.13805004314063848,0.0,1.0353753235547887,0.020424380000622477,10
iterations,10000,1258.0,2.4311798192752483,0.0,6.125970664365832,0.1842611100029899,10
iterations,5000,1259.9,2.2769740140104626,0.0,6.125970664365832,0.09555912999785506,10
iterations,50000,1251.6,2.934086007765848,0.0,6.729939603106126,0.9278130899983807,10
neighborhood,insert,1257.2,2.490160458157968,0.0,6.125970664365832,0.21486119000037435,10
neighborhood,swap,1258.0,2.4311798192752483,0.0,6.125970664365832,0.18710570999974152,10
t_start,10,1256.2,2.5731028033885983,0.0,6.729939603106126,0.18212246999755735,10
t_start,100,1259.2,2.328994544625658,0.0,6.125970664365832,0.1821539800002938,10
t_start,1000,1258.0,2.4311798192752483,0.0,6.125970664365832,0.18037817000295037,10
t_start,10000,1259.3,2.311363023181261,0.0,5.2631578947368425,0.18295318000018596,10
